ordinal_prise,orateur,texte,debut,fin,sad,disgust,angry,neutral,fear,surprise,happy
1,Mme la présidente,La séance est ouverte.,900.99,902.53,0.0,0.0458447127852486,0.0,0.0721078953797399,0.3338584000320633,0.10235772085366344,0.44583127094928476
1,Mme la présidente,"L’ordre du jour appelle les questions sur le thème : « Quelles réponses à la dissémination inquiétante et à la violence exacerbée du crime organisé en France ? ».Je vous rappelle que la conférence des présidents a fixé à deux minutes la durée maximale de chaque question et de chaque réponse, avec droit de réplique et de contre-réplique.La parole est à M. Jocelyn Dessigny.",902.53,927.84,0.0,0.09987501461748134,0.027654407131776745,0.00916145076092939,0.8294349506676036,0.03387417682220884,0.0
1,M. Jocelyn Dessigny (RN),"Monsieur le ministre, vous proclamez une guerre contre les trafiquants, mais de quelle guerre parle-t-on si vous refusez d’armer l’État ? Certes, la loi contre le narcotrafic contient des annonces, mais sans moyens, c’est un baroud médiatique, pas une stratégie de combat.Prenons l’exemple des points de deal. Ce sont des caisses noires quotidiennes pour les réseaux criminels. Pourtant, ils réapparaissent quelques jours seulement après chaque opération de police. Pourquoi ? Parce qu’il n’y a ni harcèlement permanent, ni continuité d’action, ni coordination locale, ni moyens dédiés. Les maires sont seuls, les préfets attendent des instructions, les forces de l’ordre épuisent leurs effectifs pour ne gagner que trois jours de calme.Côté logistique, même constat : téléphones chiffrés, bunkers de quartier, véhicules relais… Tout cela est connu et documenté, mais les services spécialisés comme Tracfin, l’Office central de lutte contre la corruption et les infractions financières et fiscales (OCLCIFF), les magistrats ou encore les douaniers restent en sous-effectifs, sans renforts ciblés, sans calendrier de déploiement.Surtout, le gouvernement n’a pas fait le choix de présenter un projet de loi de finances rectificative (PLFR), malgré les nouvelles mesures induites par votre texte. Nous l’avons réclamé, mais vous n’avez pas voulu le faire. Or sans PLFR, il n’y aura pas de moyens financiers suffisants ; sans moyens financiers suffisants, il n’y aura pas d’action et tout cela ne restera que du vent.Dans ce contexte, ma première question est simple : quelle feuille de route opérationnelle les ministères de l’intérieur et de la justice ont-ils définie pour la mise en œuvre effective de cette loi ? Pouvez-vous détailler les moyens, le calendrier et les instructions qui seront données aux préfets et aux procureurs ?Comment comptez-vous tarir le flux des criminels si l’on ne parvient pas à contrôler durablement les points de deal et les circuits logistiques, faute de soutien concret aux acteurs de terrain ?",927.84,1047.82,0.0,0.09674979705654874,0.5752615422911102,0.17505020190120385,0.07443933460033596,0.07849912415080133,0.0
1,Mme la présidente,"La parole est à M. le ministre auprès du ministre d’Etat, ministre de l’intérieur.",1047.82,1056.3,0.0,0.0,0.1686188657719286,0.13620451039041304,0.5160264717098955,0.1020633634158937,0.07708678871186918
1,M. François-Noël Buffet,"Mon temps de réponse est limité, mais je vais tenter de vous expliquer comment les choses s’organisent.Tout d’abord, les constats formulés ont notamment été documentés à l’occasion d’une commission d’enquête sénatoriale. Elle a permis d’aboutir à la proposition de loi telle qu’elle a été votée par vous-mêmes comme par le Sénat, et sur laquelle le Conseil constitutionnel a rendu aujourd’hui une décision très largement favorable.Cette loi vise à réorganiser la lutte contre le narcotrafic, du haut jusqu’au bas du spectre. Cela paraît absolument essentiel.Dès lors que nous avons aligné l’organisation de la lutte contre le narcotrafic sur celle que nous appliquons à la lutte contre le terrorisme, plusieurs dispositifs ont été mis en place. Le parquet national anti-criminalité organisée (Pnaco) a été créé. Un état-major spécifiquement dédié à la lutte contre la criminalité organisée a également été installé il y a quelques semaines.Cette nouvelle organisation est verticale : les remontées d’informations seront opérées au niveau régional afin d’être traitées au niveau national si nécessaire. À l’échelle locale, des moyens de coordination seront également mis en place entre le préfet, le procureur de la République et les autres services du ministère de l’intérieur contribuant à la remontée de l’information et à la connaissance du terrain.Vous évoquez les points de deal. Évidemment, ils se situent au bas du spectre du narcotrafic, mais ils font tout de même partie intégrante de la chaîne générale du système, puisque les narcotrafiquants profitent de la vente du quotidien. Cette dernière a d’ailleurs augmenté, de même que les saisies, ce qui atteste déjà de résultats concrets sur ce point.La coordination et la connaissance des situations de fait sont essentielles pour poursuivre la lutte contre les points de deal existants. À long terme, cela permettra à la fois d’assécher les fournisseurs, de réduire la consommation – nous l’espérons – et d’éviter le remplacement de ces points de deal sur le terrain. Je voudrais rappeler que… (Le temps de parole étant écoulé, Mme la présidente coupe le micro de l’orateur.)",1056.3,1098.12,0.0,0.0,0.12443388031086158,0.5585238297981154,0.07485898478492745,0.11304648208511213,0.12913682302098345
1,Mme la présidente,"La parole est à M. Jocelyn Dessigny, pour une seconde question.",1098.12,1191.67,0.0,0.0,0.12618783759745753,0.18850782713856315,0.30748366383073594,0.2185412062163747,0.15927946521686867
1,M. Jocelyn Dessigny (RN),"Monsieur le ministre, vous allez pouvoir poursuivre votre argumentation, mais ce que vous me dites aujourd’hui, ce ne sont que des paroles. Du reste, M. Darmanin nous les a déjà servies. M. Retailleau, quant à lui, n’a pas daigné se préoccuper plus que cela du texte sur le narcotrafic ; il a brillé par son absence, ce que nous avons regretté.Nous avons soutenu ce texte. Mieux, nous l’avons porté face à La France insoumise, qui a défendu les narcotrafiquants tout au long de son examen. Vos députés étaient absents ; nous étions les seuls à être présents pour le défendre. Nous voulons des résultats sur la lutte contre le narcotrafic !Vous ne proposez aujourd’hui que des paroles et de vaines promesses. Vous n’avez pas mobilisé de moyens financiers. Vous n’avez pas prévu de PLFR pour donner des moyens financiers à nos forces de l’ordre, à nos magistrats, à nos préfets. Sans argent ni effectifs supplémentaires, on ne peut pas lutter. Les Français attendent mieux que cela : ils veulent des résultats concrets. Il va falloir mettre la main à la poche, sortir un petit peu plus d’argent et présenter le PLFR que nous vous réclamons. C’est indispensable pour pouvoir appliquer les propositions que vous avez avancées lors des débats portant sur la loi visant à lutter contre le narcotrafic.Nous avons soutenu ce texte, nous l’avons porté face aux incompétences de La France insoumise et de la gauche qui, elles, ont lutté pour défendre les narcotrafiquants. Nous étions là, nous avons fait le nécessaire ; maintenant, nous attendons des résultats. Qu’avez-vous à nous proposer, monsieur le ministre ?",1191.67,1211.97,0.014818832632545229,0.021629105988060556,0.8603882498595253,0.08241366424678423,0.0,0.02075014727308463,0.0
1,Mme la présidente,La parole est à M. le ministre.,1211.97,1283.5,0.0,0.0,0.11248379519116115,0.1749782905827167,0.3467713391864769,0.16718565301123584,0.19858092202840943
1,M. François-Noël Buffet,"Merci d’avoir soutenu le texte que nous avons proposé.Vous me demandez quels sont les résultats concrets. À la date du 30 avril, 9 047 personnes ont été interpellées, 4 600 personnes ont été placées en garde à vue, 1 449 personnes ont été déférées,…",1283.5,1290.75,0.0,0.17031148581162808,0.17623644926346566,0.20631838233283625,0.38046930456960276,0.06666437802246727,0.0
1,M. Jocelyn Dessigny,Mais non ! Arrêtez avec vos chiffres…,1290.75,1302.23,0.015218210512629024,0.01505147280693513,0.9031862772173189,0.04146069857079702,0.0,0.02508334089231992,0.0
1,M. François-Noël Buffet,"…3 000 étrangers en situation irrégulière ont été interpellés, 278 ont été placés en centre de rétention administrative,…",1302.23,1312.29,0.013149696202111637,0.026429919922379943,0.07641716570938706,0.0,0.8646592509648342,0.019343967201287213,0.0
1,M. Jocelyn Dessigny,"Non, non !",1312.29,1314.92,0.03121549097894631,0.0,0.9158540281638107,0.022961693499658584,0.019001432885952407,0.010967354471632053,0.0
1,M. François-Noël Buffet,"…près de 1 000 kilos de stupéfiants ont été saisis, 504 armes ont été saisies (M. Jocelyn Dessigny applaudit par dérision), 1 549 240 euros ont été saisis en espèces, 3 120 000 euros de biens ont été saisis, 359 véhicules ont été saisis, 614 commerces ont été contrôlés et 103 ont été fermés.Voilà les premiers résultats sur vingt-trois villes seulement.",1314.92,1321.65,0.0,0.7977148921598717,0.03909782381506251,0.019980698238949476,0.11430846278173033,0.028898123004386055,0.0
